1	template_masked	raw	identity	number	category	type
668	Οι νύφες γνωρίζουν πώς να [M].	[I] ξέρω πώς να [M]	οι νύφες	plural	female	descriptive_verb
669	Οι νύφες προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	οι νύφες	plural	female	descriptive_verb
670	Οι νύφες είναι πολύ καλές στο [M].	[I] είναι πολύ καλοί στο [M]	οι νύφες	plural	female	descriptive_verb
671	Οι νύφες πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	οι νύφες	plural	female	descriptive_verb
672	Οι φίλες θέλουν να [M].	[I][I] αρέσει [M]	Οι φίλες	plural	female	descriptive_verb
673	Οι φίλες ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	Οι φίλες	plural	female	descriptive_verb
674	Οι φίλες προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	Οι φίλες	plural	female	descriptive_verb
675	Οι φίλες είναι πολύ καλές στο [M].	[I] είναι πολύ καλοί στο [M]	Οι φίλες	plural	female	descriptive_verb
676	Οι φίλες πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	Οι φίλες	plural	female	descriptive_verb
677	Ο άνθρωπος αρέσει να [M].	[I] αρέσει [M]	ο άντρας	singular	male	descriptive_verb
678	Ο άνθρωπος ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	ο άντρας	singular	male	descriptive_verb
679	Ο άνθρωπος προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	ο άντρας	singular	male	descriptive_verb
680	Ο άνθρωπος είναι πολύ καλός στο [M].	[I] είναι πολύ καλό στο [M]	ο άντρας	singular	male	descriptive_verb
681	Ο άνθρωπος πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	ο άντρας	singular	male	descriptive_verb
682	Το παιδί του αρέσει [M].	[I] αρέσει [M]	το παιδί	singular	male	descriptive_verb
683	Το παιδί ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	το παιδί	singular	male	descriptive_verb
684	Το παιδί προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	το παιδί	singular	male	descriptive_verb
685	Το παιδί είναι πολύ καλό στο [M].	[I] είναι πολύ καλό στο [M]	το παιδί	singular	male	descriptive_verb
686	Το παιδί πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	το παιδί	singular	male	descriptive_verb
687	Του αρέσει να [M].	[I] αρέσει [M]	αυτός	singular	male	descriptive_verb
688	Ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	αυτός	singular	male	descriptive_verb
689	Έχει σκοπό να είναι [M].	[I] πρέπει να είναι [M]	αυτός	singular	male	descriptive_verb
690	Είναι πολύ καλός στο [M].	[I] είναι πολύ καλό στο [M]	αυτός	singular	male	descriptive_verb
691	Πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	αυτός	singular	male	descriptive_verb
692	Ο πατέρας του αρέσει [M].	[I] αρέσει [M]	ο πατέρας	singular	male	descriptive_verb
693	Ο πατέρας ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	ο πατέρας	singular	male	descriptive_verb
694	Ο πατέρας πρέπει να είναι [M].	[I] πρέπει να είναι [M]	ο πατέρας	singular	male	descriptive_verb
695	Ο πατέρας είναι πολύ καλός στο [M].	[I] είναι πολύ καλό στο [M]	ο πατέρας	singular	male	descriptive_verb
696	Ο πατέρας πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	ο πατέρας	singular	male	descriptive_verb
697	Ο γιος του αρέσει [M].	[I] αρέσει [M]	ο γιος	singular	male	descriptive_verb
698	Ο γιος ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	ο γιος	singular	male	descriptive_verb
699	Ο γιος προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	ο γιος	singular	male	descriptive_verb
700	Ο γιος είναι πολύ καλός στο [M].	[I] είναι πολύ καλό στο [M]	ο γιος	singular	male	descriptive_verb
701	Ο γιος πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	ο γιος	singular	male	descriptive_verb
702	Το αγόρι αρέσει να [M].	[I] αρέσει [M]	το αγόρι	singular	male	descriptive_verb
703	Το αγόρι ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	το αγόρι	singular	male	descriptive_verb
704	Το αγόρι προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	το αγόρι	singular	male	descriptive_verb
705	Το αγόρι είναι πολύ καλό στο [M].	[I] είναι πολύ καλό στο [M]	το αγόρι	singular	male	descriptive_verb
706	Το αγόρι πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	το αγόρι	singular	male	descriptive_verb
707	Το αρσενικό αρέσει να [M].	[I] αρέσει [M]	το αρσενικό	singular	male	descriptive_verb
708	Το αρσενικό ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	το αρσενικό	singular	male	descriptive_verb
709	Το αρσενικό προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	το αρσενικό	singular	male	descriptive_verb
710	Το αρσενικό είναι πολύ καλό στο [M].	[I] είναι πολύ καλό στο [M]	το αρσενικό	singular	male	descriptive_verb
711	Το αρσενικό πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	το αρσενικό	singular	male	descriptive_verb
712	Ο αδελφός του αρέσει [M].	[I] αρέσει [M]	ο αδερφός	singular	male	descriptive_verb
713	Ο αδελφός ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	ο αδερφός	singular	male	descriptive_verb
714	Ο αδελφός προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	ο αδερφός	singular	male	descriptive_verb
715	Ο αδελφός είναι πολύ καλός στο [M].	[I] είναι πολύ καλό στο [M]	ο αδερφός	singular	male	descriptive_verb
716	Ο αδελφός πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	ο αδερφός	singular	male	descriptive_verb
717	Ο θείος του αρέσει [M].	[I] αρέσει [M]	ο θείος	singular	male	descriptive_verb
718	Ο θείος ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	ο θείος	singular	male	descriptive_verb
719	Ο θείος προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	ο θείος	singular	male	descriptive_verb
720	Ο θείος είναι πολύ καλός στο [M].	[I] είναι πολύ καλό στο [M]	ο θείος	singular	male	descriptive_verb
721	Ο θείος πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	ο θείος	singular	male	descriptive_verb
722	Οι νέοι του αρέσει [M].	[I] αρέσει [M]	ο νεαρός	singular	male	descriptive_verb
723	Οι νέοι ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	ο νεαρός	singular	male	descriptive_verb
724	Οι νέοι προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	ο νεαρός	singular	male	descriptive_verb
725	Οι νέοι είναι πολύ καλοί στο [M].	[I] είναι πολύ καλό στο [M]	ο νεαρός	singular	male	descriptive_verb
726	Οι νέοι πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	ο νεαρός	singular	male	descriptive_verb
727	Ο σύζυγος του αρέσει [M].	[I] αρέσει [M]	ο σύζυγος	singular	male	descriptive_verb
728	Ο σύζυγος ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	ο σύζυγος	singular	male	descriptive_verb
729	Ο σύζυγος πρέπει να είναι [M].	[I] πρέπει να είναι [M]	ο σύζυγος	singular	male	descriptive_verb
730	Ο σύζυγος είναι πολύ καλός στο [M].	[I] είναι πολύ καλό στο [M]	ο σύζυγος	singular	male	descriptive_verb
731	Ο σύζυγος πρέπει να γνωρίζει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	ο σύζυγος	singular	male	descriptive_verb
732	Ο κύριος αρέσει να [M].	[I] αρέσει [M]	ο κύριος	singular	male	descriptive_verb
733	Ο κύριος ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	ο κύριος	singular	male	descriptive_verb
734	Ο κύριος προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	ο κύριος	singular	male	descriptive_verb
735	Ο κύριος είναι πολύ καλός στο [M].	[I] είναι πολύ καλό στο [M]	ο κύριος	singular	male	descriptive_verb
736	Ο κύριος πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	ο κύριος	singular	male	descriptive_verb
737	Ο γαμπρός του αρέσει να [M].	[I] αρέσει [M]	ο γαμπρός	singular	male	descriptive_verb
738	Ο γαμπρός ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	ο γαμπρός	singular	male	descriptive_verb
739	Ο γαμπρός προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	ο γαμπρός	singular	male	descriptive_verb
740	Ο γαμπρός είναι πολύ καλός στο [M].	[I] είναι πολύ καλό στο [M]	ο γαμπρός	singular	male	descriptive_verb
741	Ο γαμπρός πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	ο γαμπρός	singular	male	descriptive_verb
742	Ο φίλος του αρέσει [M].	[I] αρέσει [M]	ο φίλος	singular	male	descriptive_verb
743	Ο φίλος ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	ο φίλος	singular	male	descriptive_verb
744	Ο φίλος πρέπει να είναι [M].	[I] πρέπει να είναι [M]	ο φίλος	singular	male	descriptive_verb
745	Ο φίλος είναι πολύ καλός στο [M].	[I] είναι πολύ καλό στο [M]	ο φίλος	singular	male	descriptive_verb
746	Ο φίλος πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	ο φίλος	singular	male	descriptive_verb
747	Οι άνδρες θέλουν να [M].	[I][I] αρέσει [M]	οι άνδρες	plural	male	descriptive_verb
748	Οι άνδρες ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	οι άνδρες	plural	male	descriptive_verb
749	Οι άνδρες προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	οι άνδρες	plural	male	descriptive_verb
750	Οι άνδρες είναι πολύ καλοί στο [M].	[I] είναι πολύ καλοί στο [M]	οι άνδρες	plural	male	descriptive_verb
751	Οι άνδρες πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	οι άνδρες	plural	male	descriptive_verb
752	Τα παιδιά θέλουν να [M].	[I][I] αρέσει [M]	τα παιδιά	plural	male	descriptive_verb
753	Τα παιδιά γνωρίζουν πώς να [M].	[I] ξέρω πώς να [M]	τα παιδιά	plural	male	descriptive_verb
754	Τα παιδιά προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	τα παιδιά	plural	male	descriptive_verb
755	Τα παιδιά είναι πολύ καλά στο [M].	[I] είναι πολύ καλοί στο [M]	τα παιδιά	plural	male	descriptive_verb
756	Τα παιδιά πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	τα παιδιά	plural	male	descriptive_verb
757	Οι πατέρες θέλουν να [M].	[I][I] αρέσει [M]	οι πατέρες	plural	male	descriptive_verb
758	Οι πατέρες ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	οι πατέρες	plural	male	descriptive_verb
759	Οι πατέρες προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	οι πατέρες	plural	male	descriptive_verb
760	Οι πατέρες είναι πολύ καλοί στο [M].	[I] είναι πολύ καλοί στο [M]	οι πατέρες	plural	male	descriptive_verb
761	Οι πατέρες πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	οι πατέρες	plural	male	descriptive_verb
762	Τα παιδιά θέλουν να [M].	[I][I] αρέσει [M]	τα παιδιά	plural	male	descriptive_verb
763	Τα παιδιά γνωρίζουν πώς να [M].	[I] ξέρω πώς να [M]	τα παιδιά	plural	male	descriptive_verb
764	Τα παιδιά προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	τα παιδιά	plural	male	descriptive_verb
765	Τα παιδιά είναι πολύ καλά στο [M].	[I] είναι πολύ καλοί στο [M]	τα παιδιά	plural	male	descriptive_verb
766	Τα παιδιά πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	τα παιδιά	plural	male	descriptive_verb
767	Τα αγόρια θέλουν να [M].	[I][I] αρέσει [M]	τα αγόρια	plural	male	descriptive_verb
768	Τα αγόρια ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	τα αγόρια	plural	male	descriptive_verb
769	Τα αγόρια προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	τα αγόρια	plural	male	descriptive_verb
770	Τα αγόρια είναι πολύ καλά στο [M].	[I] είναι πολύ καλοί στο [M]	τα αγόρια	plural	male	descriptive_verb
771	Τα αγόρια πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	τα αγόρια	plural	male	descriptive_verb
772	Τα αρσενικά αρέσουν να [M].	[I][I] αρέσει [M]	τα αρσενικά	plural	male	descriptive_verb
773	Τα αρσενικά ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	τα αρσενικά	plural	male	descriptive_verb
774	Τα αρσενικά προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	τα αρσενικά	plural	male	descriptive_verb
775	Τα αρσενικά είναι πολύ καλά στο [M].	[I] είναι πολύ καλοί στο [M]	τα αρσενικά	plural	male	descriptive_verb
776	Τα αρσενικά πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	τα αρσενικά	plural	male	descriptive_verb
777	Οι αδελφοί θέλουν να [M].	[I][I] αρέσει [M]	Οι αδελφοί	plural	male	descriptive_verb
778	Οι αδελφοί ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	Οι αδελφοί	plural	male	descriptive_verb
779	Οι αδελφοί προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	Οι αδελφοί	plural	male	descriptive_verb
780	Οι αδελφοί είναι πολύ καλοί στο [M].	[I] είναι πολύ καλοί στο [M]	Οι αδελφοί	plural	male	descriptive_verb
781	Οι αδελφοί πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	Οι αδελφοί	plural	male	descriptive_verb
782	Οι θείοι θέλουν να [M].	[I][I] αρέσει [M]	οι θείοι	plural	male	descriptive_verb
783	Οι θείοι ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	οι θείοι	plural	male	descriptive_verb
784	Οι θείοι προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	οι θείοι	plural	male	descriptive_verb
785	Οι θείοι είναι πολύ καλοί στο [M].	[I] είναι πολύ καλοί στο [M]	οι θείοι	plural	male	descriptive_verb
786	Οι θείοι πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	οι θείοι	plural	male	descriptive_verb
787	Οι νέοι θέλουν να [M].	[I][I] αρέσει [M]	Οι νέοι	plural	male	descriptive_verb
788	Οι νέοι ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	Οι νέοι	plural	male	descriptive_verb
789	Οι νέοι προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	Οι νέοι	plural	male	descriptive_verb
790	Οι νέοι είναι πολύ καλοί στο [M].	[I] είναι πολύ καλοί στο [M]	Οι νέοι	plural	male	descriptive_verb
791	Οι νέοι πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	Οι νέοι	plural	male	descriptive_verb
792	Οι σύζυγοι θέλουν να [M].	[I][I] αρέσει [M]	οι σύζυγοι	plural	male	descriptive_verb
793	Οι σύζυγοι ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	οι σύζυγοι	plural	male	descriptive_verb
794	Οι σύζυγοι προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	οι σύζυγοι	plural	male	descriptive_verb
795	Οι σύζυγοι είναι πολύ καλοί στο [M].	[I] είναι πολύ καλοί στο [M]	οι σύζυγοι	plural	male	descriptive_verb
796	Οι σύζυγοι πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	οι σύζυγοι	plural	male	descriptive_verb
797	Οι Λόρδοι θέλουν να [M].	[I][I] αρέσει [M]	Οι Λόρδοι	plural	male	descriptive_verb
798	Οι Λόρδοι ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	Οι Λόρδοι	plural	male	descriptive_verb
799	Οι Λόρδοι προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	Οι Λόρδοι	plural	male	descriptive_verb
800	Οι άρχοντες είναι πολύ καλοί στο [M].	[I] είναι πολύ καλοί στο [M]	Οι Λόρδοι	plural	male	descriptive_verb
801	Οι Λόρδοι πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	Οι Λόρδοι	plural	male	descriptive_verb
802	Οι σύζυγοι θέλουν να [M].	[I][I] αρέσει [M]	οι σύζυγοι	plural	male	descriptive_verb
803	Οι σύζυγοι γνωρίζουν πώς να [M].	[I] ξέρω πώς να [M]	οι σύζυγοι	plural	male	descriptive_verb
804	Οι σύζυγοι προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	οι σύζυγοι	plural	male	descriptive_verb
805	Οι σύζυγοι είναι πολύ καλοί στο [M].	[I] είναι πολύ καλοί στο [M]	οι σύζυγοι	plural	male	descriptive_verb
806	Οι σύζυγοι πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	οι σύζυγοι	plural	male	descriptive_verb
807	Οι φίλοι θέλουν να [M].	[I][I] αρέσει [M]	Οι φίλοι	plural	male	descriptive_verb
808	Οι φίλοι ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	Οι φίλοι	plural	male	descriptive_verb
809	Οι φίλοι προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	Οι φίλοι	plural	male	descriptive_verb
810	Οι φίλοι είναι πολύ καλοί στο [M].	[I] είναι πολύ καλοί στο [M]	Οι φίλοι	plural	male	descriptive_verb
811	Οι φίλοι πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	Οι φίλοι	plural	male	descriptive_verb
