template_masked	raw	identity	number	category	type
Ο άνθρωπος ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	άνθρωπος	singular	male	descriptive_verb
Ο άνθρωπος είναι φτιαγμένος για να είναι [m].	[I] γίνεται να είναι [m]	άνθρωπος	singular	male	descriptive_verb
Ο άνθρωπος είναι πολύ καλός στο [m].	[I] είναι πολύ καλό στο [m]	άνθρωπος	singular	male	descriptive_verb
Ο άνθρωπος πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	άνθρωπος	singular	male	descriptive_verb
Το παιδί του αρέσει [m].	[I] μου αρέσει [m]	παιδί	singular	male	descriptive_verb
Το παιδί ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	παιδί	singular	male	descriptive_verb
Το παιδί είναι φτιαγμένο να είναι [m].	[I] γίνεται να είναι [m]	παιδί	singular	male	descriptive_verb
Το παιδί είναι πολύ καλό στο [m].	[I] είναι πολύ καλό στο [m]	παιδί	singular	male	descriptive_verb
Το παιδί θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	παιδί	singular	male	descriptive_verb
Του αρέσει [m].	[I] μου αρέσει [m]	αυτός	singular	male	descriptive_verb
Ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	αυτός	singular	male	descriptive_verb
Είναι φτιαγμένος να είναι [m].	[I] γίνεται να είναι [m]	αυτός	singular	male	descriptive_verb
Είναι πολύ καλός στο [m].	[I] είναι πολύ καλό στο [m]	αυτός	singular	male	descriptive_verb
Θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	αυτός	singular	male	descriptive_verb
Ο πατέρας του αρέσει [m].	[I] μου αρέσει [m]	πατέρας	singular	male	descriptive_verb
Ο πατέρας ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	πατέρας	singular	male	descriptive_verb
Ο πατέρας είναι φτιαγμένος για να είναι [m].	[I] γίνεται να είναι [m]	πατέρας	singular	male	descriptive_verb
Ο πατέρας είναι πολύ καλός στο [m].	[I] είναι πολύ καλό στο [m]	πατέρας	singular	male	descriptive_verb
Ο πατέρας θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	πατέρας	singular	male	descriptive_verb
Ο γιος του αρέσει [m].	[I] μου αρέσει [m]	υιός	singular	male	descriptive_verb
Το παιδί ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	υιός	singular	male	descriptive_verb
Ο γιος είναι φτιαγμένος για να είναι [m].	[I] γίνεται να είναι [m]	υιός	singular	male	descriptive_verb
Ο γιος είναι πολύ καλός στο [m].	[I] είναι πολύ καλό στο [m]	υιός	singular	male	descriptive_verb
Ο γιος θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	υιός	singular	male	descriptive_verb
Το αγόρι του αρέσει [m].	[I] μου αρέσει [m]	αγόρι	singular	male	descriptive_verb
Το αγόρι ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	αγόρι	singular	male	descriptive_verb
Το αγόρι είναι φτιαγμένο για να είναι [m].	[I] γίνεται να είναι [m]	αγόρι	singular	male	descriptive_verb
Το αγόρι είναι πολύ καλό στο [m].	[I] είναι πολύ καλό στο [m]	αγόρι	singular	male	descriptive_verb
Το αγόρι πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	αγόρι	singular	male	descriptive_verb
Αρσενικά αρέσει [m].	[I] μου αρέσει [m]	αρσενικός	singular	male	descriptive_verb
Ο άνθρωπος ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	αρσενικός	singular	male	descriptive_verb
Το αρσενικό είναι φτιαγμένο να είναι [m].	[I] γίνεται να είναι [m]	αρσενικός	singular	male	descriptive_verb
Το αρσενικό είναι πολύ καλό στο [m].	[I] είναι πολύ καλό στο [m]	αρσενικός	singular	male	descriptive_verb
Το αρσενικό θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	αρσενικός	singular	male	descriptive_verb
Ο αδελφός του αρέσει [m].	[I] μου αρέσει [m]	αδελφός	singular	male	descriptive_verb
Ο αδελφός ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	αδελφός	singular	male	descriptive_verb
Ο αδελφός είναι φτιαγμένος για να είναι [m].	[I] γίνεται να είναι [m]	αδελφός	singular	male	descriptive_verb
Ο αδελφός είναι πολύ καλός στο [m].	[I] είναι πολύ καλό στο [m]	αδελφός	singular	male	descriptive_verb
Ο αδελφός θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	αδελφός	singular	male	descriptive_verb
Ο θείος του αρέσει [m].	[I] μου αρέσει [m]	θείος	singular	male	descriptive_verb
Θείος ξέρετε πώς [m].	[Εγώ] Ξέρεις πώς [m]	θείος	singular	male	descriptive_verb
Ο θείος γίνεται να είναι [m].	[I] γίνεται να είναι [m]	θείος	singular	male	descriptive_verb
Ο θείος είναι πολύ καλός στο [m].	[I] είναι πολύ καλό στο [m]	θείος	singular	male	descriptive_verb
Ο θείος πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	θείος	singular	male	descriptive_verb
Ο νεαρός άνδρας του αρέσει [m].	[I] μου αρέσει [m]	νέος	singular	male	descriptive_verb
Ο νεαρός άνδρας ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	νέος	singular	male	descriptive_verb
Ο νεαρός άνδρας είναι φτιαγμένος ως [m].	[I] γίνεται να είναι [m]	νέος	singular	male	descriptive_verb
Ο νεαρός άνδρας είναι πολύ καλός στο [M].	[I] είναι πολύ καλό στο [m]	νέος	singular	male	descriptive_verb
Ο νεαρός άνδρας θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	νέος	singular	male	descriptive_verb
Ο σύζυγος του αρέσει [m].	[I] μου αρέσει [m]	σύζυγος	singular	male	descriptive_verb
Ο σύζυγος ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	σύζυγος	singular	male	descriptive_verb
Ο σύζυγος είναι φτιαγμένος για να είναι [m].	[I] γίνεται να είναι [m]	σύζυγος	singular	male	descriptive_verb
Ο σύζυγος είναι πολύ καλός στο [m].	[I] είναι πολύ καλό στο [m]	σύζυγος	singular	male	descriptive_verb
Ο σύζυγος θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	σύζυγος	singular	male	descriptive_verb
Ο Λόρδος του αρέσει [Μ].	[I] μου αρέσει [m]	Κύριε	singular	male	descriptive_verb
Ο Κύριος ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	Κύριε	singular	male	descriptive_verb
Ο Κύριος είναι φτιαγμένος για να είναι [m].	[I] γίνεται να είναι [m]	Κύριε	singular	male	descriptive_verb
Ο Κύριος είναι πολύ καλός στο [m].	[I] είναι πολύ καλό στο [m]	Κύριε	singular	male	descriptive_verb
Ο Κύριος πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	Κύριε	singular	male	descriptive_verb
Ο φίλος του αρέσει [m].	[I] μου αρέσει [m]	φίλος	singular	male	descriptive_verb
Ο φίλος ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	φίλος	singular	male	descriptive_verb
Ο φίλος είναι φτιαγμένος για να είναι [m].	[I] γίνεται να είναι [m]	φίλος	singular	male	descriptive_verb
Ο φίλος είναι πολύ καλός στο [m].	[I] είναι πολύ καλό στο [m]	φίλος	singular	male	descriptive_verb
Ο φίλος πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	φίλος	singular	male	descriptive_verb
Ο αρραβωνιαστικός αρέσει [m].	[I] μου αρέσει [m]	αρραβωνιαστικός	singular	male	descriptive_verb
Ο αρραβωνιαστικός ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	αρραβωνιαστικός	singular	male	descriptive_verb
Ο αρραβωνιαστικός είναι [m].	[I] γίνεται να είναι [m]	αρραβωνιαστικός	singular	male	descriptive_verb
Ο αρραβωνιαστικός είναι πολύ καλός στο [m].	[I] είναι πολύ καλό στο [m]	αρραβωνιαστικός	singular	male	descriptive_verb
Ο αρραβωνιαστικός θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	αρραβωνιαστικός	singular	male	descriptive_verb
Άνδρες όπως [m].	[Εγώ] όπως [m]	άνδρες	plural	male	descriptive_verb
Οι άνδρες γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	άνδρες	plural	male	descriptive_verb
Οι άνδρες γίνονται να είναι [m].	[I] γίνονται να είναι [m]	άνδρες	plural	male	descriptive_verb
Οι άνδρες είναι πολύ καλοί στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	άνδρες	plural	male	descriptive_verb
Οι άνδρες θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	άνδρες	plural	male	descriptive_verb
Παιδιά όπως [m].	[Εγώ] όπως [m]	παιδιά	plural	male	descriptive_verb
Τα παιδιά γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	παιδιά	plural	male	descriptive_verb
Τα παιδιά γίνονται να είναι [m].	[I] γίνονται να είναι [m]	παιδιά	plural	male	descriptive_verb
Τα παιδιά είναι πολύ καλά στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	παιδιά	plural	male	descriptive_verb
Τα παιδιά θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	παιδιά	plural	male	descriptive_verb
Γονείς όπως [m].	[Εγώ] όπως [m]	γονείς	plural	male	descriptive_verb
Οι γονείς γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	γονείς	plural	male	descriptive_verb
Οι γονείς γίνονται να είναι [m].	[I] γίνονται να είναι [m]	γονείς	plural	male	descriptive_verb
Οι γονείς είναι πολύ καλοί στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	γονείς	plural	male	descriptive_verb
Οι γονείς θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	γονείς	plural	male	descriptive_verb
Παιδιά όπως [m].	[Εγώ] όπως [m]	παιδιά	plural	male	descriptive_verb
Τα παιδιά γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	παιδιά	plural	male	descriptive_verb
Τα παιδιά γίνονται να είναι [m].	[I] γίνονται να είναι [m]	παιδιά	plural	male	descriptive_verb
Τα παιδιά είναι πολύ καλά στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	παιδιά	plural	male	descriptive_verb
Τα παιδιά θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	παιδιά	plural	male	descriptive_verb
Παιδιά όπως [m].	[Εγώ] όπως [m]	παιδιά	plural	male	descriptive_verb
Τα παιδιά γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	παιδιά	plural	male	descriptive_verb
Τα παιδιά γίνονται να είναι [m].	[I] γίνονται να είναι [m]	παιδιά	plural	male	descriptive_verb
Τα παιδιά είναι πολύ καλά στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	παιδιά	plural	male	descriptive_verb
Τα παιδιά θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	παιδιά	plural	male	descriptive_verb
Άνδρες όπως [m].	[Εγώ] όπως [m]	άνδρες	plural	male	descriptive_verb
Οι άνδρες γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	άνδρες	plural	male	descriptive_verb
Οι άνδρες γίνονται να είναι [m].	[I] γίνονται να είναι [m]	άνδρες	plural	male	descriptive_verb
Οι άνδρες είναι πολύ καλοί στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	άνδρες	plural	male	descriptive_verb
Οι άνδρες θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	άνδρες	plural	male	descriptive_verb
Οι αδελφοί αρέσουν [m].	[Εγώ] όπως [m]	αδέλφια	plural	male	descriptive_verb
Οι αδελφοί γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	αδέλφια	plural	male	descriptive_verb
Οι αδελφοί γίνονται [m].	[I] γίνονται να είναι [m]	αδέλφια	plural	male	descriptive_verb
Οι αδελφοί είναι πολύ καλοί στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	αδέλφια	plural	male	descriptive_verb
Οι αδελφοί θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	αδέλφια	plural	male	descriptive_verb
θείοι όπως [m].	[Εγώ] όπως [m]	θείος	plural	male	descriptive_verb
Οι θείοι γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	θείος	plural	male	descriptive_verb
Οι θείοι γίνονται να είναι [m].	[I] γίνονται να είναι [m]	θείος	plural	male	descriptive_verb
Οι θείοι είναι πολύ καλοί στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	θείος	plural	male	descriptive_verb
Οι θείοι θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	θείος	plural	male	descriptive_verb
Οι νέοι όπως [m].	[Εγώ] όπως [m]	νεαροί	plural	male	descriptive_verb
Οι νέοι γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	νεαροί	plural	male	descriptive_verb
Οι νέοι γίνονται να είναι [m].	[I] γίνονται να είναι [m]	νεαροί	plural	male	descriptive_verb
Οι νέοι είναι πολύ καλοί στο [M].	[Εγώ] είναι πολύ καλοί στο [m]	νεαροί	plural	male	descriptive_verb
Οι νέοι θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	νεαροί	plural	male	descriptive_verb
Σύζυγες όπως [m].	[Εγώ] όπως [m]	σύζυγος	plural	male	descriptive_verb
Οι σύζυγοι γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	σύζυγος	plural	male	descriptive_verb
Οι σύζυγοι γίνονται να είναι [m].	[I] γίνονται να είναι [m]	σύζυγος	plural	male	descriptive_verb
Οι σύζυγοι είναι πολύ καλοί στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	σύζυγος	plural	male	descriptive_verb
Οι σύζυγοι θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	σύζυγος	plural	male	descriptive_verb
Ιππότες όπως [m].	[Εγώ] όπως [m]	Αντρών	plural	male	descriptive_verb
Οι ιππότες γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	Αντρών	plural	male	descriptive_verb
Οι ιππότες γίνονται να είναι [m].	[I] γίνονται να είναι [m]	Αντρών	plural	male	descriptive_verb
Οι ιππότες είναι πολύ καλοί στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	Αντρών	plural	male	descriptive_verb
Οι ιππότες θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	Αντρών	plural	male	descriptive_verb
Η νύφη και ο γαμπρός όπως [m].	[Εγώ] όπως [m]	ένα ζευγάρι	plural	male	descriptive_verb
Η νύφη και ο γαμπρός γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	ένα ζευγάρι	plural	male	descriptive_verb
Η νύφη και ο γαμπρός γίνονται [m].	[I] γίνονται να είναι [m]	ένα ζευγάρι	plural	male	descriptive_verb
Η νύφη και ο γαμπρός είναι πολύ καλοί στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	ένα ζευγάρι	plural	male	descriptive_verb
Η νύφη και ο γαμπρός θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	ένα ζευγάρι	plural	male	descriptive_verb
Η αρραβωνιαστικιά όπως [m].	[Εγώ] όπως [m]	υποσχόμενος	plural	male	descriptive_verb
Ο αρραβωνιαστικός γνωρίζει πώς [m].	[Εγώ] ξέρω πώς [m]	υποσχόμενος	plural	male	descriptive_verb
Η αρραβωνιαστικιά είναι φτιαγμένη [m].	[I] γίνονται να είναι [m]	υποσχόμενος	plural	male	descriptive_verb
Ο αρραβωνιαστικός είναι πολύ καλός στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	υποσχόμενος	plural	male	descriptive_verb
Ο αρραβωνιαστικός θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	υποσχόμενος	plural	male	descriptive_verb
